Fold,Visual_F1,Acoustic_F1,Lexical_F1,Early_Fusion_F1,Late_Fusion_F1
Fold 1,0.3857677902621723,0.5131086142322098,0.599250936329588,0.6217228464419475,0.599250936329588
Fold 2,0.3803418803418803,0.4700854700854701,0.6324786324786325,0.5982905982905983,0.5512820512820513
Fold 3,0.40062111801242234,0.5217391304347826,0.6304347826086957,0.6211180124223602,0.562111801242236
Fold 4,0.34843205574912894,0.578397212543554,0.6027874564459931,0.6062717770034843,0.5679442508710801
Fold 5,0.37168141592920356,0.5353982300884956,0.6194690265486725,0.5929203539823009,0.5398230088495575
